Pageviews per User,Pageviews per Session,Facebook.com,Number of Records,Date,Device Category,Entrances,Social Source Referral,Landing Page,New Users,Organic Searches,Pageviews,% New Sessions,Number of Sessions per User,Sessions,Shared URL,Social Network,Source,Time on Page,Unique Pageviews,Users
2,2,3,1,30/03/2017,tablet,1,Yes,/2018-toyota-yaris-is-the-game-changer-2/,1,0,2,1,1,1,foxautos.co.nz/2018-toyota-yaris-is-the-game-changer-2/,Facebook,m.facebook.com,32,2,1
1,1,3,1,30/03/2017,tablet,1,Yes,/listings/fox101/,1,0,1,1,1,1,foxautos.co.nz/listings/fox101/,Facebook,m.facebook.com,0,1,1
4,3,3,1,31/03/2017,desktop,3,No,/,0,0,9,0,1.5,3,foxautos.co.nz/,,(direct),157,7,2
1,1,3,1,31/03/2017,desktop,1,No,/listings/fox101/,0,0,1,0,1,1,foxautos.co.nz/listings/fox101/,,(direct),0,1,1
3,3,3,1,31/03/2017,mobile,1,No,/,1,0,3,1,1,1,foxautos.co.nz/,,(direct),48,2,1
1,1,3,1,31/03/2017,mobile,1,No,/listings/fox101/,0,0,1,0,1,1,foxautos.co.nz/listings/fox101/,,(direct),0,1,1
9,9,3,1,31/03/2017,mobile,1,No,/,1,1,9,1,1,1,foxautos.co.nz/,,google,353,6,1
4,4,3,1,31/03/2017,desktop,1,Yes,/,0,0,4,0,1,1,foxautos.co.nz/,Facebook,facebook.com,1348,2,1
2,2,3,1,31/03/2017,desktop,1,Yes,/listings/fox101/,1,0,2,1,1,1,foxautos.co.nz/listings/fox101/,Facebook,facebook.com,16,2,1
1,1,3,1,31/03/2017,mobile,1,Yes,/listings/fox101/,1,0,1,1,1,1,foxautos.co.nz/listings/fox101/,Facebook,facebook.com,0,1,1
1,1,3,1,31/03/2017,mobile,4,Yes,/listings/fox101/,4,0,7,1,1,4,foxautos.co.nz/listings/fox101/,Facebook,m.facebook.com,284,5,4
3,3,3,1,31/03/2017,mobile,2,Yes,/listings/fox102/,2,0,6,1,1,2,foxautos.co.nz/listings/fox102/,Facebook,m.facebook.com,51,6,2
